,Product,Type,Unique_Aspect,CO2_Equivalent_per_Kilo,Score,Entity,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging,Food group,GHGEs per 100g (Median)
0,Avocado,Fruit,from Peru,0.8,A,,,,,,,,,,
1,Avocado,Fruit,from Peru Biological,0.8,A,,,,,,,,,,
2,Strawberries,Fruit,Winter Season,3.4,C,,,,,,,,,,
3,Strawberries,Fruit,Normal season regional,0.3,A,,,,,,,,,,
4,Pineapple,Fruit,by Ship,0.6,A,,,,,,,,,,
5,Pineapple,Fruit,by Plane,15.1,E,,,,,,,,,,
6,Apples,Fruit,from New Zealand,0.8,A,,,,,,,,,,
7,Apples,Fruit,mean Regional and Seasonal,0.3,A,,,,,,,,,,
8,Peach,Fruit,Fresh,0.2,A,,,,,,,,,,
9,Peach,Fruit,Can,1.6,B,,,,,,,,,,
10,Broccoli,Vegetable,Fresh,0.3,A,,,,,,,,,,
11,Broccoli,Vegetable,Frozen,0.3,A,,,,,,,,,,
12,Beans,Vegetable,Fresh,0.8,A,,,,,,,,,,
13,Beans,Vegetable,Can,1.3,B,,,,,,,,,,
14,Champignon,Vegetable,Fresh,1.3,B,,,,,,,,,,
15,Champignon,Vegetable,Can,2.4,B,,,,,,,,,,
16,Tomatoes,Vegetable,Paste,4.3,C,,,,,,,,,,
17,Tomatoes,Vegetable,Can,1.8,B,,,,,,,,,,
18,Carrots,Vegetable,Fresh,0.2,A,,,,,,,,,,
19,Carrots,Vegetable,Biological,0.2,A,,,,,,,,,,
20,Butter,Dairy,Conventional,9.0,D,,,,,,,,,,
21,Butter,Dairy,Biological,11.5,E,,,,,,,,,,
22,Cheese,Dairy,mean Conventional,5.7,D,,,,,,,,,,
23,Cheese,Dairy,mean Biological,7.2,D,,,,,,,,,,
24,Milk,Dairy,Biological,1.7,B,,,,,,,,,,
25,Oat Milk,Dairy ,Substitute,0.3,A,,,,,,,,,,
26,Cream,Dairy,Biological,5.3,D,,,,,,,,,,
27,Oat Cream,Dairy,Substitute,0.6,A,,,,,,,,,,
28,Curd,Dairy,Biological,4.1,C,,,,,,,,,,
29,Soja Curd,Dairy,Substitute,0.7,A,,,,,,,,,,
30,Shrimp,Fish,Frozen,12.5,E,,,,,,,,,,
31,Salmon,Fish,Aquaculture,5.1,D,,,,,,,,,,
32,Beef,Meat,mean Conventional,13.6,E,,,,,,,,,,
33,Beef,Meat,Biological,15.1,E,,,,,,,,,,
34,Pork,Meat,mean Conventional,4.6,C,,,,,,,,,,
35,Pork,Meat,Biological,5.2,D,,,,,,,,,,
36,Tofu,Meat,Substitute,1.0,A,,,,,,,,,,
37,Tempeh,Meat,Substitue,0.7,A,,,,,,,,,,
38,Venison,Meat,From Deer,11.5,E,,,,,,,,,,
39,Veggie Patties,Meat,mean Substitutes,1.45,B,,,,,,,,,,
40,Brown Bread,Pastries,Conventional,0.6,A,,,,,,,,,,
41,Brown Bread,Pastries,Biological,0.6,A,,,,,,,,,,
42,Honey,Sweets,Glas,2.0,B,,,,,,,,,,
43,Olive Oil,Ingredient,Glas,3.2,C,,,,,,,,,,
44,Coconut Oil,Ingredient,Glas,2.3,B,,,,,,,,,,
45,Beet Sugar,Ingredient,Conventional,0.7,A,,,,,,,,,,
46,Beet Sugar,Ingredient,Biological,0.5,A,,,,,,,,,,
47,Peanuts with Shell,Ingredient,Conventional,0.8,A,,,,,,,,,,
48,Peanutbutter,Sweets,Glas,2.0,B,,,,,,,,,,
49,Beer 0.5L,Drinks,Glas,0.9,A,,,,,,,,,,
