food_product,land_use_change,animal_feed,farm,transport,packging,retail,total_emissions,Product,GHG_emissions_per_kg,Consumption_in_kg,processing
Wheat & Rye (Bread),0.1,0.0,0.8,0.1,0.1,0.1,1.4000000000000004,,,,
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.0,1.1,,,,
Barley (Beer),0.0,0.0,0.2,0.0,0.5,0.3,1.1,,,,
Oatmeal,0.0,0.0,1.4,0.1,0.1,0.0,1.6,Oatmeal,2.48,2.1,2.48
Rice,0.0,0.0,3.6,0.1,0.1,0.1,4.0,Rice,4.45,"5,3",4.45
Potatoes,0.0,0.0,0.2,0.1,0.0,0.0,0.3,Potatoes,0.46,"65,2",0.46
Cassava,0.6,0.0,0.2,0.1,0.0,0.0,0.9,Cassava,1.32,,1.32
Cane Sugar,1.2,0.0,0.5,0.8,0.1,0.0,2.6,Cane Sugar,3.2,2.5,3.2
Beet Sugar,0.0,0.0,0.5,0.6,0.1,0.0,1.4,Beet Sugar,1.81,"32,0",1.81
Other Pulses,0.0,0.0,1.1,0.1,0.4,0.0,1.6,Other Pulses,1.79,,1.79
Peas,0.0,0.0,0.7,0.1,0.0,0.0,0.7999999999999999,Peas,0.98,,0.98
Nuts,-2.1,0.0,2.1,0.1,0.1,0.0,0.2,Nuts,0.43,,0.43
Groundnuts,0.4,0.0,1.4,0.1,0.1,0.0,2.4,Groundnuts,3.23,"4,2",3.23
Soymilk,0.2,0.0,0.1,0.1,0.1,0.3,1.0,Soymilk,0.98,,0.98
Tofu,1.0,0.0,0.5,0.2,0.2,0.3,3.0,,,,
Soybean Oil,3.1,0.0,1.5,0.3,0.8,0.0,5.999999999999999,,,,
Palm Oil,3.1,0.0,2.1,0.2,0.9,0.0,7.6,,,,
Sunflower Oil,0.1,0.0,2.1,0.2,0.9,0.0,3.5000000000000004,,,,
Rapeseed Oil,0.2,0.0,2.3,0.2,0.8,0.0,3.7,,,,
Olive Oil,-0.4,0.0,4.3,0.5,0.9,0.0,6.0,,,,
Tomatoes,0.4,0.0,0.7,0.2,0.1,0.0,1.4,Tomatoes,2.09,9.4,2.09
Onions & Leeks,0.0,0.0,0.2,0.1,0.0,0.0,0.3,Onions & Leeks,0.5,,0.5
Root Vegetables,0.0,0.0,0.2,0.1,0.0,0.0,0.3,Root Vegetables,0.43,,0.43
Brassicas,0.0,0.0,0.3,0.1,0.0,0.0,0.4,Brassicas,0.51,,0.51
Other Vegetables,0.0,0.0,0.2,0.2,0.0,0.0,0.5,Other Vegetables,0.53,"95,7",0.53
Citrus Fruit,-0.1,0.0,0.3,0.1,0.0,0.0,0.3,Citrus Fruit,0.39,"36,6",0.39
Bananas,0.0,0.0,0.3,0.3,0.1,0.0,0.7999999999999999,Bananas,0.86,12.2,0.86
Apples,0.0,0.0,0.2,0.1,0.0,0.0,0.3,Apples,0.43,8.96,0.43
Berries & Grapes,0.0,0.0,0.7,0.2,0.2,0.0,1.1,Berries & Grapes,1.53,,1.53
Wine,-0.1,0.0,0.6,0.1,0.7,0.0,1.4,Wine,1.79,,1.79
Other Fruit,0.1,0.0,0.4,0.2,0.0,0.0,0.7,Other Fruit,1.05,"68,6",1.05
Coffee,3.7,0.0,10.4,0.1,1.6,0.1,16.500000000000004,Coffee,28.53,,28.53
Dark Chocolate,14.3,0.0,3.7,0.1,0.4,0.0,18.7,Dark Chocolate,46.65,,46.65
Beef (beef herd),16.3,1.9,39.4,0.3,0.2,0.2,59.6,Beef (beef herd),99.48,"13,0",99.48
Beef (dairy herd),0.9,2.5,15.7,0.4,0.3,0.2,21.1,Beef (dairy herd),33.3,,33.3
Lamb & Mutton,0.5,2.4,19.5,0.5,0.3,0.2,24.5,Lamb & Mutton,39.72,,39.72
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.2,7.2,Pig Meat,12.31,"52,6",12.31
Poultry Meat,2.5,1.8,0.7,0.3,0.2,0.2,6.1000000000000005,Poultry Meat,9.87,"18,5",9.87
Milk,0.5,0.2,1.5,0.1,0.1,0.3,2.8000000000000003,Milk,3.15,"83,5",3.15
Cheese,4.5,2.3,13.1,0.1,0.2,0.3,21.2,Cheese,23.88,"23,8",23.88
Eggs,0.7,2.2,1.3,0.1,0.2,0.0,4.5,Eggs,4.67,"13,3",4.67
Fish (farmed),0.5,0.8,3.6,0.1,0.1,0.0,5.1,Fish (farmed),13.63,18.8,13.63
Shrimps (farmed),0.2,2.5,8.4,0.2,0.3,0.2,11.8,,,,
