,Product,Type,Country of Origin,Method of Transportation,Organic,Seasonal,Type of Packaging,Processed,CO2_Equivalent_per_Kilo,Source,food_emissions_processing,food_emissions_animal_feed,food_emissions_land_use,food_emissions_farm,food_emissions_transport,food_emissions_retail,food_emissions_packaging
0,Apple Juice 1L,Drinks,,,,True,Glas,processed,0.4,IFEU study,1.0000000000000002e-17,0.0,0.05600000000000001,0.124,0.049600000000000005,0.0,2.4400000000000003e-17
1,Apples,Fruit,New Zealand,,,False,,unprocessed,0.8,IFEU study,2.0000000000000005e-17,0.0,0.11200000000000002,0.248,0.09920000000000001,0.0,4.8800000000000005e-17
2,Apples,Fruit,Germany,,,True,,unprocessed,0.3,IFEU study,7.5e-18,0.0,0.042,0.093,0.0372,0.0,1.83e-17
3,Avocado,Fruit,Peru,,False,,,False,0.8,IFEU study,2.0000000000000005e-17,0.0,0.11200000000000002,0.248,0.09920000000000001,0.0,4.8800000000000005e-17
4,Avocado,Fruit,Peru,,True,,,False,0.8,IFEU study,2.0000000000000005e-17,0.0,0.11200000000000002,0.248,0.09920000000000001,0.0,4.8800000000000005e-17
5,Beans,Vegetable,,,,,Can,canned,1.3,IFEU study,3.2500000000000004e-17,0.0,0.18200000000000002,0.403,0.1612,0.0,7.930000000000001e-17
6,Beans,Vegetable,,,,,,unprocessed,0.8,IFEU study,2.0000000000000005e-17,0.0,0.11200000000000002,0.248,0.09920000000000001,0.0,4.8800000000000005e-17
7,Beef,Meat,,,False,,,unprocessed,13.6,IFEU study,3.4e-16,0.0,1.9040000000000001,4.216,1.6864,0.0,8.296e-16
8,Beef,Meat,,,,,,unprocessed,86.64021164021163,https://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf,2.166005291005291e-15,0.0,12.12962962962963,26.858465608465607,10.743386243386242,0.0,5.28505291005291e-15
9,Beef,Meat,,,,,,unprocessed,76.7,https://www.fao.org/gleam/results/en/,1.9175e-15,0.0,10.738000000000001,23.777,9.5108,0.0,4.678700000000001e-15
10,Beef,Meat,,,True,,,unprocessed,15.1,IFEU study,3.775e-16,0.0,2.1140000000000003,4.681,1.8723999999999998,0.0,9.211000000000001e-16
11,Beef/mutton,Meat,,,,,,unprocessed,,https://www.statista.com/statistics/947969/greenhouse-gas-emissions-agricultural-production-worldwide-by-food-product/,,0.0,,,,0.0,
12,Beer 0.5L,Drinks,,,,,Glas,processed,0.9,IFEU study,2.2500000000000002e-17,0.0,0.12600000000000003,0.279,0.1116,0.0,5.490000000000001e-17
13,Beer 0.5L,Drinks,,,,,Can,processed,1.0,IFEU study,2.5000000000000003e-17,0.0,0.14,0.31,0.124,0.0,6.1e-17
14,Beet Sugar,Ingredient,,,True,,Paper,unprocessed,0.5,IFEU study,1.2500000000000001e-17,0.0,0.07,0.155,0.062,0.0,3.05e-17
