,Product,Type,Country of Origin,Method of Transportation,Organic,Seasonal,Type of Packaging,Processed,CO2_Equivalent_per_Kilo,Entity,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging,Food group,GHGEs per 100g (Median)
0,Avocado,Fruit,Peru,nan,False,nan,nan,False,0.8,,,,,,,,,,
1,Avocado,Fruit,Peru,nan,True,nan,nan,False,0.8,,,,,,,,,,
2,Strawberries,Fruit,nan,nan,nan,False,nan,unprocessed,3.4,,,,,,,,,,
3,Strawberries,Fruit,Germany,nan,nan,True,nan,unprocessed,0.3,,,,,,,,,,
4,Pineapple,Fruit,nan,Ship,nan,nan,nan,unprocessed,0.6,,,,,,,,,,
5,Pineapple,Fruit,nan,Plane,nan,nan,nan,unprocessed,15.1,,,,,,,,,,
6,Apples,Fruit,New Zealand,nan,nan,False,nan,unprocessed,0.8,,,,,,,,,,
7,Apples,Fruit,Germany,nan,nan,True,nan,unprocessed,0.3,,,,,,,,,,
8,Peach,Fruit,nan,nan,nan,nan,unpackaged,unprocessed,0.2,,,,,,,,,,
9,Peach,Fruit,nan,nan,nan,nan,Can,canned,1.6,,,,,,,,,,
10,Broccoli,Vegetable,nan,nan,nan,nan,unpackaged,unprocessed,0.3,,,,,,,,,,
11,Broccoli,Vegetable,nan,nan,nan,nan,Plastic,frozen,0.3,,,,,,,,,,
12,Beans,Vegetable,nan,nan,nan,nan,nan,unprocessed,0.8,,,,,,,,,,
13,Beans,Vegetable,nan,nan,nan,nan,Can,canned,1.3,,,,,,,,,,
14,Champignon,Vegetable,nan,nan,nan,True,nan,unprocessed,1.3,,,,,,,,,,
15,Champignon,Vegetable,nan,nan,nan,True,Can,canned,2.4,,,,,,,,,,
16,Tomatoes,Vegetable,nan,nan,nan,nan,Metal tube,Paste,4.3,,,,,,,,,,
17,Tomatoes,Vegetable,nan,nan,nan,nan,Can,canned,1.8,,,,,,,,,,
18,Carrots,Vegetable,nan,nan,False,nan,nan,unprocessed,0.2,,,,,,,,,,
19,Carrots,Vegetable,nan,nan,True,nan,nan,unprocessed,0.2,,,,,,,,,,
20,Butter,Dairy,nan,nan,False,nan,Plastic,processed,9.0,,,,,,,,,,
21,Butter,Dairy,nan,nan,True,nan,Plastic,processed,11.5,,,,,,,,,,
22,Cheese,Dairy,nan,nan,False,nan,nan,processed,5.7,,,,,,,,,,
23,Cheese,Dairy,nan,nan,True,nan,nan,processed,7.2,,,,,,,,,,
24,Milk,Dairy,nan,nan,True,nan,Carton,unprocessed,1.7,,,,,,,,,,
25,Oat Milk,Substitute,nan,nan,nan,nan,nan,processed,0.3,,,,,,,,,,
26,Cream,Dairy,nan,nan,True,nan,nan,processed,5.3,,,,,,,,,,
27,Oat Cream,Substitute,nan,nan,nan,nan,nan,processed,0.6,,,,,,,,,,
28,Curd,Dairy,nan,nan,True,nan,nan,processed,4.1,,,,,,,,,,
29,Soja Curd,Substitute,nan,nan,nan,nan,nan,processed,0.7,,,,,,,,,,
30,Shrimp,Fish,nan,nan,nan,nan,nan,frozen,12.5,,,,,,,,,,
31,Salmon from Aquaculture,Fish,nan,nan,nan,nan,nan,unprocessed,5.1,,,,,,,,,,
32,Beef,Meat,nan,nan,False,nan,nan,unprocessed,13.6,,,,,,,,,,
33,Beef,Meat,nan,nan,True,nan,nan,unprocessed,15.1,,,,,,,,,,
34,Pork,Meat,nan,nan,False,nan,nan,unprocessed,4.6,,,,,,,,,,
35,Pork,Meat,nan,nan,True,nan,nan,unprocessed,5.2,,,,,,,,,,
36,Tofu,Substitute,nan,nan,nan,nan,Plastic,processed,1.0,,,,,,,,,,
37,Tempeh,Substitute,nan,nan,nan,nan,Plastic,processed,0.7,,,,,,,,,,
38,Venison from Deer,Meat,nan,nan,nan,nan,nan,unprocessed,11.5,,,,,,,,,,
39,Veggie Patties,Substitute,nan,nan,nan,nan,Plastic,processed,1.45,,,,,,,,,,
40,Brown Bread,Pastries,Germany,nan,False,nan,nan,unprocessed,0.6,,,,,,,,,,
41,Brown Bread,Pastries,Germany,nan,False,nan,nan,unprocessed,0.6,,,,,,,,,,
42,Honey,Sweets,nan,nan,nan,nan,Glas,unprocessed,2.0,,,,,,,,,,
